voter_name,affiliation,year,award,player,points_given
Anthony Slater,The Athletic,2022,MIP,Tyrese Maxey,3
Anthony Slater,The Athletic,2022,MIP,Miles Bridges,1
Anthony Slater,The Athletic,2022,MVP,Nikola Jokic,10
Anthony Slater,The Athletic,2022,MVP,Joel Embiid,7
Anthony Slater,The Athletic,2022,MVP,Giannis Antetokounmpo,5
Anthony Slater,The Athletic,2022,MVP,Devin Booker,3
Anthony Slater,The Athletic,2022,MVP,Stephen Curry,1
Anthony Slater,The Athletic,2022,ROY,Evan Mobley,5
Anthony Slater,The Athletic,2022,ROY,Cade Cunningham,3
Anthony Slater,The Athletic,2022,ROY,Scottie Barnes,1
Anthony Slater,The Athletic,2022,SMOY,Tyler Herro,5
Anthony Slater,The Athletic,2022,SMOY,Cameron Johnson,3
Anthony Slater,The Athletic,2022,SMOY,Kevin Love,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-Defense,Bam Adebayo,2
Antoine Bancharel,L'Equipe / Canal+,2022,All-Defense,Giannis Antetokounmpo,2
Antoine Bancharel,L'Equipe / Canal+,2022,All-Defense,Rudy Gobert,2
Antoine Bancharel,L'Equipe / Canal+,2022,All-Defense,Marcus Smart,2
Antoine Bancharel,L'Equipe / Canal+,2022,All-Defense,Mikal Bridges,2
Antoine Bancharel,L'Equipe / Canal+,2022,All-Defense,Jaren Jackson Jr.,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-Defense,Evan Mobley,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-Defense,Joel Embiid,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-Defense,Jrue Holiday,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-Defense,Matisse Thybulle,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,Giannis Antetokounmpo,5
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,Nikola Jokic,5
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,Joel Embiid,5
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,Ja Morant,5
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,Luka Doncic,5
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,Kevin Durant,3
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,Jayson Tatum,3
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,Rudy Gobert,3
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,Devin Booker,3
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,Stephen Curry,3
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,Pascal Siakam,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,DeMar DeRozan,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,Karl-Anthony Towns,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,Jimmy Butler,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-NBA,Trae Young,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-Rook,Scottie Barnes,2
Antoine Bancharel,L'Equipe / Canal+,2022,All-Rook,Evan Mobley,2
Antoine Bancharel,L'Equipe / Canal+,2022,All-Rook,Cade Cunningham,2
Antoine Bancharel,L'Equipe / Canal+,2022,All-Rook,Franz Wagner,2
Antoine Bancharel,L'Equipe / Canal+,2022,All-Rook,Josh Giddey,2
Antoine Bancharel,L'Equipe / Canal+,2022,All-Rook,Jonathan Kuminga,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-Rook,Bones Hyland,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-Rook,Herbert Jones,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-Rook,Ayo Dosunmu,1
Antoine Bancharel,L'Equipe / Canal+,2022,All-Rook,Jalen Green,1
Antoine Bancharel,L'Equipe / Canal+,2022,COY,Monty Williams,5
Antoine Bancharel,L'Equipe / Canal+,2022,COY,Taylor Jenkins,3
