player_id,player,first_seas,last_seas,active,career_ws,career_vorp,peak_ws,peak_vorp,ws_per_seas,vorp_per_seas
2367,Kannard Johnson,1988,1988,FALSE,-0.1,0,-0.1,0,-0.1,0
2375,Martin Nessley,1988,1988,FALSE,-0.1,-0.5,-0.1,-0.5,-0.1,-0.5
2379,Nate Blackwell,1988,1988,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
2380,Nikita Wilson,1988,1988,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
2384,Ralph Lewis,1988,1990,FALSE,-0.1,-0.30000000000000004,0,0,-0.03333333333333333,-0.10000000000000002
2391,Ron Moore,1988,1988,FALSE,-0.1,-0.2,-0.1,-0.2,-0.1,-0.2
2418,Dave Popson,1989,1992,FALSE,-0.1,-0.2,0,0,-0.03333333333333333,-0.06666666666666667
2426,Fennis Dembo,1989,1989,FALSE,-0.1,-0.2,-0.1,-0.2,-0.1,-0.2
2448,Mike Champion,1989,1989,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
2471,Todd Mitchell,1989,1989,FALSE,-0.1,-0.3,-0.1,-0.3,-0.1,-0.3
2491,Clifford Lett,1990,1991,FALSE,-0.1,-0.2,0,-0.1,-0.05,-0.1
2497,Dexter Shouse,1990,1990,FALSE,-0.1,0,-0.1,0,-0.1,0
2505,Frank Kornet,1990,1991,FALSE,-0.1,-0.6000000000000001,0,-0.2,-0.05,-0.30000000000000004
2516,Jay Taylor,1990,1990,FALSE,-0.1,0,-0.1,0,-0.1,0
2524,Leonard Taylor,1990,1990,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
2592,Irving Thomas,1991,1991,FALSE,-0.1,-0.2,-0.1,-0.2,-0.1,-0.2
2602,Kurk Lee,1991,1991,FALSE,-0.1,-0.3,-0.1,-0.3,-0.1,-0.3
2612,Miloš Babić,1991,1992,FALSE,-0.1,-0.1,0,0,-0.05,-0.05
2631,Walter Palmer,1991,1993,FALSE,-0.1,-0.2,0,-0.1,-0.05,-0.1
2640,Charles Thomas,1992,1992,FALSE,-0.1,-0.2,-0.1,-0.2,-0.1,-0.2
2659,John Turner,1992,1992,FALSE,-0.1,-0.5,-0.1,-0.5,-0.1,-0.5
2662,Kevin Brooks,1992,1994,FALSE,-0.1,-1,0.1,-0.1,-0.03333333333333333,-0.3333333333333333
2675,Patrick Eddie,1992,1992,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
2700,Anthony Pullard,1993,1993,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
2762,Adonis Jordan,1994,1999,FALSE,-0.1,-0.1,0,0,-0.05,-0.05
2784,Darnell Mee,1994,1995,FALSE,-0.1,-0.1,0,0,-0.05,-0.05
2808,Luther Wright,1994,1994,FALSE,-0.1,-0.2,-0.1,-0.2,-0.1,-0.2
2837,Askia Jones,1995,1995,FALSE,-0.1,-0.2,-0.1,-0.2,-0.1,-0.2
2910,Cuonzo Martin,1996,1997,FALSE,-0.1,0,0.1,0.1,-0.05,0
2926,Howard Nathan,1996,1996,FALSE,-0.1,0,-0.1,0,-0.1,0
2940,Logan Vander Velden,1996,1996,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
2947,Melvin Booker,1996,1997,FALSE,-0.1,-0.5,0.1,-0.2,-0.05,-0.25
2951,Rastko Cvetković,1996,1996,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
2953,Robert Churchwell,1996,1996,FALSE,-0.1,0,-0.1,0,-0.1,0
2957,Stefano Rusconi,1996,1996,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
2986,Evric Gray,1997,1997,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
2988,Horacio Llamas,1997,1998,FALSE,-0.1,-0.30000000000000004,0,-0.1,-0.05,-0.15000000000000002
2989,James Scott,1997,1997,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
2996,Joe Stephens,1997,2000,FALSE,-0.1,0,0,0,-0.03333333333333333,0
3029,Stevin Smith,1997,1997,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
3062,God Shammgod,1998,1998,FALSE,-0.1,-0.2,-0.1,-0.2,-0.1,-0.2
3082,Michael McDonald,1998,1998,FALSE,-0.1,0,-0.1,0,-0.1,0
3090,Shea Seals,1998,1998,FALSE,-0.1,0,-0.1,0,-0.1,0
3099,William Cunningham,1998,1999,FALSE,-0.1,-0.3,0.1,0,-0.05,-0.15
3102,Alvin Sims,1999,1999,FALSE,-0.1,0,-0.1,0,-0.1,0
3110,Casey Shaw,1999,1999,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
3134,Mark Baker,1999,1999,FALSE,-0.1,0,-0.1,0,-0.1,0
3142,Miles Simon,1999,1999,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
3145,Paul Grant,1999,2004,FALSE,-0.1,-0.2,0,-0.1,-0.05,-0.1
3150,Randell Jackson,1999,2000,FALSE,-0.1,-0.2,0,0,-0.05,-0.1
3180,DeMarco Johnson,2000,2000,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
3181,Derek Hood,2000,2000,FALSE,-0.1,0,-0.1,0,-0.1,0
3197,John Celestand,2000,2000,FALSE,-0.1,-0.3,-0.1,-0.3,-0.1,-0.3
3202,Lari Ketner,2000,2001,FALSE,-0.1,-0.2,0,0,-0.05,-0.1
3220,Tim James,2000,2002,FALSE,-0.1,-0.30000000000000004,0.1,0,-0.03333333333333333,-0.10000000000000002
3226,Wayne Turner,2000,2000,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
3250,Garth Joseph,2001,2001,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
3278,Mike Smith,2001,2001,FALSE,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
